"";"Collection";"Sex";"PUM";"SPU";"DCOX";"IIMT";"ISMM";"SCOX";"SS";"SA";"SIS";"VEAC"
"14_ 1";"Geneva";"M";73,4;32,2;222;43;120,1;165;81,4;81,3;40,7;62,2
"14_ 7";"Geneva";"F";74,9;27,3;208;49;110,8;155;72,3;77,5;38,4;55,7
"14_ 10";"Geneva";"F";68,8;23,3;195;47;97,5;153;69,1;79,8;32,8;48,2
"14_ 16";"Geneva";"M";62,3;27,5;203;37;103,3;145;70,7;70,9;38,8;53
"14_ 17";"Geneva";"M";73,1;31,8;213;43;113,4;155;70,5;70;37,6;55,5
"14_ 20";"Geneva";"M";77,3;31,1;225;54;119,5;172;76;78,2;40,6;60,5
"14_ 23";"Geneva";"F";69,8;22,5;203;46;101,8;153;67,9;71,5;35,9;53
"14_ 26";"Geneva";"F";75,4;24;207;44;104,5;159;66,4;72,3;40,5;48,3
"14_ 28";"Geneva";"F";67,8;20,5;182;38;88;146;65,6;67,1;31;46,4
"14_ 40";"Geneva";"M";76,4;29,5;233;44;119,8;164;77,5;77,5;39,8;59,3
"14_ 43";"Geneva";"M";71,5;29,5;216;43;115;158;75,4;75,6;40;59,2
"14_ 44";"Geneva";"F";85,4;23,2;213;49;107,2;177;73,3;81,1;38,1;51
"14_ 46";"Geneva";"M";68,6;29,6;214;47;108,1;156;75;71,3;42,9;53
"14_ 50";"Geneva";"F";70,5;21,7;190;44;98,6;145;67,8;73,8;34,9;48,5
"14_ 52";"Geneva";"F";80,2;21;213;48;105,2;165;73,3;85;35,6;52,5
"14_ 64";"Geneva";"M";73,6;29;227;43;118;163;81,7;81,7;39,5;60
"14_ 70";"Geneva";"F";85;26,4;218;60;111,6;179;78;93,5;35,5;53,5
"14_ 72";"Geneva";"M";68,3;26,7;207;35;109;152;74,7;76,3;36;58,3
"14_ 73";"Geneva";"M";75,3;28;227;46;113,3;164;72,2;78,5;36,5;56,1
"14_ 74";"Geneva";"F";66,5;22,3;181;44;90,9;146;64;79,7;30,7;45
"14_ 80";"Geneva";"F";72,8;27;197;48;103,3;147;71,5;82;35,9;55,8
"14_ 87";"Geneva";"M";69,2;29;210;34;112,7;155;76,2;76,2;39;59
"14_ 90";"Geneva";"F";77,2;23;194;48;104,7;153;75,3;87,6;41,1;49,6
"14_ 95";"Geneva";"F";71;24,7;200;50;103,9;156;62,5;72,2;38,5;47
"14_ 97";"Geneva";"F";71;31,5;224;40;114,1;159;77,7;82,4;40;59,3
"14_ 98";"Geneva";"F";76,5;31;206;56;104,5;153;65,9;77,5;36;53,5
"14_ 99";"Geneva";"M";74,2;30,3;223;42;109,3;159;77;0;38,5;58
"14_ 107";"Geneva";"M";69;30,3;203;35;108,8;146;71,7;71,7;39,4;55,5
"14_ 115";"Geneva";"F";73,2;24,3;195;49;98,8;148;70,2;77,3;36,9;51,5
"14_ 118";"Geneva";"M";73,5;35;226;42;123;171;85,1;86;43,7;63,4
"14_ 120";"Geneva";"M";71,3;27,2;218;37;111,6;158;72,9;70,2;39,5;56
"14_ 121";"Geneva";"M";75,6;31,8;226;32;120;167;79,2;77,3;48;56,2
"14_ 123";"Geneva";"M";69,7;26,5;221;36;114,3;164;74;76,7;39,7;59,3
"14_ 124";"Geneva";"M";72,6;28,4;215;36;112,5;157;77,2;70;39,8;57,1
"14_ 129";"Geneva";"M";71,3;29;218;43;116,1;159;72,2;77,3;34,5;56,3
"14_ 135";"Geneva";"F";70,8;22,2;190;44;96,1;153;68,5;75,5;31,1;50,9
"14_ 137";"Geneva";"M";74,2;29,9;226;46;122,5;161;74,5;76,6;38,3;59,5
"14_ 144";"Geneva";"F";68;24,3;188;40;91,5;146;68;68;41,8;45,5
"14_ 146";"Geneva";"F";72,4;24,5;206;38;101,4;156;69;73,5;47,1;50,3
"14_ 148";"Geneva";"F";81,2;31,8;214;46;107;167;75;85;37,9;49,8
"14_ 149";"Geneva";"M";76,9;33,5;234;37;116,6;165;79;83,5;43;55,5
"14_ 153";"Geneva";"M";75,1;28,6;225;38;119;160;79,5;73;41;58,5
"14_ 158";"Geneva";"F";77,5;25,5;205;41;101,5;149;60,3;74,3;37;51,4
"14_ 159";"Geneva";"F";71,8;19,7;193;47;94,5;148;65;71;30,9;47,3
"14_ 177";"Geneva";"M";81,5;28,5;233;31;122,5;170;80,7;80,7;44,1;59,5
"14_ 179";"Geneva";"F";73,5;20;205;60;101,2;162;68,1;80;37;43,7
"14_ 188";"Geneva";"F";74,3;27,8;197;46;98,5;160;74;76,1;43,2;49,5
"14_ 190";"Geneva";"M";69,8;28,5;213;49;105,4;158;67,8;88;42;51,3
"14_ 195";"Geneva";"M";74;31;218;46;111;155;75,7;78;43,7;56,1
"14_ 200";"Geneva";"F";77,4;24,2;200;52;95;159;67,2;81,7;31;49,4
"14_ 203";"Geneva";"M";76;33,5;234;46;122,9;171;75,5;82,2;46;60,4
"14_ 206";"Geneva";"F";77,3;23,7;205;55;103,2;170;78,5;89,5;41,8;54,1
"14_ 209";"Geneva";"M";76,3;26,5;236;37;122,5;180;79,5;79,5;38;60
"14_ 210";"Geneva";"F";68;22,9;198;40;100;143;65,7;72,6;35;48,3
"14_ 211";"Geneva";"F";86,9;25,8;221;52;105,3;178;73;84;34,9;50
"14_ 213";"Geneva";"F";73,1;22,1;205;48;105;157;71,2;80;43,4;51,4
"14_ 216";"Geneva";"M";78,5;31,7;235;43;121,8;173;85,2;84;49,5;62,7
"14_ 218";"Geneva";"M";76;31,7;212;49;105;158;69,2;77,3;40,3;56,2
"14_ 219";"Geneva";"M";66,6;26,8;224;40;111;156;72;72;41;55,5
"14_ 231";"Geneva";"F";77,5;26,8;213;45;102,8;159;74,2;76,4;36,8;51,3
"14_ 232";"Geneva";"M";71,3;26,3;225;36;121,8;150;80,2;72,8;44;61,8
"14_ 235";"Geneva";"F";77,9;22,6;208;40;110;164;73,7;84;35,7;53,6
"14_ 237";"Geneva";"M";69,1;26,5;213;44;113;156;69,5;76;35,7;57,2
"14_ 244";"Geneva";"M";73,2;28,6;223;45;117,5;160;75,5;75,4;40,1;61
"14_ 249";"Geneva";"M";71,2;28,3;216;38;113,6;153;73,2;73,6;38;56,9
"14_ 253";"Geneva";"F";70,5;20,7;185;41;86,4;145;65;71,3;30;47,6
"14_ 254";"Geneva";"F";72,3;25;198;47;97,4;160;69,6;82,2;38,7;51,7
